label,model,fold,test_years,n_train,n_test,mae,rmse,r2
process,elastic_net,1,2022.0,72,27,5.307094166263533,6.7029677688519635,0.7947473500884484
process,random_forest,1,2022.0,72,27,7.827007483257483,10.026090395529891,0.5407832269893315
process,hist_gb,1,2022.0,72,27,7.220013162730435,9.57195291685132,0.5814420280594876
process,elastic_net,2,"2023.0,2025.0",51,48,7.6845985133963355,9.954501487732891,0.3120263062930527
process,random_forest,2,"2023.0,2025.0",51,48,7.4708262498496865,9.428091897402831,0.382864663086365
process,hist_gb,2,"2023.0,2025.0",51,48,7.623899537128306,9.19544496973748,0.4129456641641326
process,elastic_net,3,2024.0,75,24,8.627909881580463,9.795038834443284,0.3112781081441528
process,random_forest,3,2024.0,75,24,6.940097966269839,8.852237926224584,0.43748032165710826
process,hist_gb,3,2024.0,75,24,6.761723474241734,8.263506891605646,0.5098146238655824
