label,fold,test_years,n_train,n_test,mae,rmse,r2
process,1,2022.0,72,27,7.693852919302934,10.116506748521548,0.5324633488951422
process,2,2025.0,75,24,7.142237528328146,8.013114727198692,0.43940940666011097
process,3,2024.0,75,24,6.833677049570794,8.719432439540066,0.45423208884599575
process,4,2023.0,75,24,9.10327219337376,11.369886016180741,0.1765876588773453
