label,model,fold,test_years,n_train,n_test,mae,rmse,r2
descriptive,elastic_net,1,2022.0,72,27,3.9618241892115114,4.937641571601458,0.8886234830169357
descriptive,random_forest,1,2022.0,72,27,6.469606067800509,8.20320836179568,0.6925871649330848
descriptive,hist_gb,1,2022.0,72,27,6.723053506391043,8.493233068677881,0.6704657233326269
descriptive,elastic_net,2,"2023.0,2025.0",51,48,5.821597067832829,7.224776347831804,0.637605485185317
descriptive,random_forest,2,"2023.0,2025.0",51,48,6.6420389467785315,8.273971416984669,0.5247076402628892
descriptive,hist_gb,2,"2023.0,2025.0",51,48,6.606091502260225,8.075263818152344,0.5472627382711783
descriptive,elastic_net,3,2024.0,75,24,6.856648394321571,7.909080178681934,0.5509615605540379
descriptive,random_forest,3,2024.0,75,24,6.495279897571564,7.989498706460272,0.5417836042075588
descriptive,hist_gb,3,2024.0,75,24,7.7453901991927046,9.076612675852784,0.4086029280103185
