label,fold,test_years,n_train,n_test,mae,rmse,r2
descriptive,1,2022.0,72,27,6.397666134791128,8.153970998523148,0.696266401511314
descriptive,2,2025.0,75,24,7.197223652736149,7.844248772942151,0.46278788093066525
descriptive,3,2024.0,75,24,6.5726977845071515,8.012445816190525,0.5391476836558314
descriptive,4,2023.0,75,24,7.63904184355949,9.870455363218163,0.3794460737079701
