feature,importance_mean,importance_std
conceded_goals,0.5612833574925589,0.2707863802984381
goals,0.302234551949252,0.19426254168613696
attacking_score_6,0.12599808754274483,0.16125377278458353
defensive_score_8,0.11633200201718796,0.1393180145924028
xg_diff,0.09692960097744141,0.19754156039386028
xg,0.09438436097724316,0.15412571304383244
ball_progression_6,0.07440247496487824,0.10415613607329967
penalties_converted,0.04539906387051479,0.037432332142008716
corners_with_shots,0.04241978342730637,0.03152711060033134
positional_attacks_with_shots,0.03814552380061648,0.045609270556086746
red_cards,0.036836749837810843,0.01892088187108674
touches_in_penalty_area,0.03615978230088957,0.059702750817369366
free_kicks_with_shots,0.02806339329323529,0.024193079610318007
yellow_cards,0.021952798765877902,0.024571095948136164
clearances,0.020188967450445714,0.013252485552241912
set_pieces_with_shots,0.015663044410150918,0.021435082912944176
possesion_threat,0.013222412525459977,0.06720960472864031
shots_on_target,0.01259238976330052,0.05459019220174812
long_passes_accurate,0.01006289072010554,0.012647240282140593
recoveries_low_medium_high,0.009903775269226913,0.01951498747806585
average_passes_per_possession,0.007329758026324622,0.010466492093746964
ppda,0.0068584980370276945,0.01581447722082673
fouls,0.00621429531759355,0.013371371639239118
match_tempo,0.004490746864589982,0.022169233385600392
counterattacks_with_shots,0.0043154277564002065,0.018666741015761084
possession_pct,0.003342055271260295,0.012444638728856192
offsides,0.0024850089575205445,0.02660232120440692
shots_against_on_target,0.0022445569655250943,0.058238256499289855
duels_won,0.0017625919319600076,0.01607537641070185
passes_to_final_third_accurate,0.0017392680479100993,0.03859159495705188
goal_kicks,0.0002855475964083822,0.031125340663753276
deep_completed_passes,-0.00031978040677861007,0.044256435393980546
back_passes_accurate,-0.00038695682889387795,0.026431186440795767
average_pass_length,-0.0009316850916003833,0.016888675626066142
progressive_passes_accurate,-0.0017391964174372266,0.019107376142759744
smart_passes_accurate,-0.002666698816872426,0.003911607990211236
passes_accurate,-0.0032142091661761783,0.007236056656478276
offensive_duels_won,-0.004372506712108759,0.020570319271890496
interceptions,-0.004917065691082218,0.010170919953189535
crosses_accurate,-0.006364583333333289,0.013015046764429196
forward_passes_accurate,-0.006425087005044835,0.013525898216733003
penalty_area_entries_runs_crosses,-0.008424368195104748,0.029747017199252695
average_shot_distance,-0.009582573419378449,0.014776303803427725
throw_ins_accurate,-0.010090391068978554,0.012629640517556119
losses_low_medium_high,-0.010868772320643495,0.013726647813813433
shots_from_outside_penalty_area_on_target,-0.010945226673331731,0.01660362923907002
lateral_passes_accurate,-0.012621217131634074,0.012976989628947716
defensive_duels_won,-0.015996782427819708,0.013892494424853298
aerial_duels_won,-0.017502909570425076,0.02590758302602397
long_pass_pct,-0.019099279835391118,0.009706347764991031
deep_completed_crosses,-0.021303135614671,0.021071776136478454
sliding_tackles_successful,-0.03318837065355271,0.016790089873386597
