feature,pearson_with_points,abs_pearson,spearman_with_points,abs_spearman,n_rows
attacking_score_6,0.7136765040443093,0.7136765040443093,0.7251443348509438,0.7251443348509438,99
ball_progression_6,0.6691019279895043,0.6691019279895043,0.6872214566955338,0.6872214566955338,99
defensive_score_8,0.686726319075392,0.686726319075392,0.6778041585143404,0.6778041585143404,99
touches_in_penalty_area,0.6406138458970522,0.6406138458970522,0.6462712438539603,0.6462712438539603,99
possesion_threat,0.6019786232292627,0.6019786232292627,0.6136526818109155,0.6136526818109155,99
penalty_area_entries_runs_crosses,0.5413933657047685,0.5413933657047685,0.5563995326723172,0.5563995326723172,99
positional_attacks_with_shots,0.5473901420299039,0.5473901420299039,0.5404778052930462,0.5404778052930462,99
deep_completed_passes,0.5258246398997098,0.5258246398997098,0.5278193357445976,0.5278193357445976,99
corners_with_shots,0.5345743645677776,0.5345743645677776,0.5253826363769348,0.5253826363769348,99
passes_to_final_third_accurate,0.48278013355151994,0.48278013355151994,0.5075131726123671,0.5075131726123671,99
ppda,-0.317245657429362,0.317245657429362,-0.3724859084667389,0.3724859084667389,99
goal_kicks,-0.3867150034181668,0.3867150034181668,-0.3642611026143303,0.3642611026143303,99
recoveries_low_medium_high,0.35183439489461793,0.35183439489461793,0.35272283846301067,0.35272283846301067,99
progressive_passes_accurate,0.3461757125247991,0.3461757125247991,0.34251669258161016,0.34251669258161016,99
crosses_accurate,0.3468268967351075,0.3468268967351075,0.3045049716686754,0.3045049716686754,99
deep_completed_crosses,0.35180479789146685,0.35180479789146685,0.2977284679106324,0.2977284679106324,99
throw_ins_accurate,0.25733089819713884,0.25733089819713884,0.2937433205736405,0.2937433205736405,99
smart_passes_accurate,0.1939960883728543,0.1939960883728543,0.2723093605442297,0.2723093605442297,99
offsides,0.22686510379425573,0.22686510379425573,0.25954452362775127,0.25954452362775127,99
counterattacks_with_shots,0.14634687753384237,0.14634687753384237,0.2590614967526784,0.2590614967526784,99
average_shot_distance,-0.36506637636587486,0.36506637636587486,-0.2553401068163821,0.2553401068163821,99
duels_won,0.20592028628993544,0.20592028628993544,0.24228889780960902,0.24228889780960902,99
red_cards,-0.23624183840197505,0.23624183840197505,-0.23795919981752128,0.23795919981752128,99
forward_passes_accurate,0.20831770540659827,0.20831770540659827,0.2369745950049632,0.2369745950049632,99
yellow_cards,-0.2766276534158915,0.2766276534158915,-0.22776671552044528,0.22776671552044528,99
aerial_duels_won,0.2588833681960718,0.2588833681960718,0.17935924779753926,0.17935924779753926,99
offensive_duels_won,0.15724049863989145,0.15724049863989145,0.17713285454473188,0.17713285454473188,99
average_pass_length,0.15407424777172668,0.15407424777172668,0.148585475729985,0.148585475729985,99
passes_accurate,0.08436004767194073,0.08436004767194073,0.14139559660751022,0.14139559660751022,99
possession_pct,0.15617163680948562,0.15617163680948562,0.13572632206777382,0.13572632206777382,99
lateral_passes_accurate,0.07910708675963846,0.07910708675963846,0.13098830650188129,0.13098830650188129,99
losses_low_medium_high,0.1830182235785676,0.1830182235785676,0.11795480881029373,0.11795480881029373,99
set_pieces_with_shots,0.07192450548304236,0.07192450548304236,0.10898325555412355,0.10898325555412355,99
clearances,-0.045022354285218884,0.045022354285218884,-0.05941118492268078,0.05941118492268078,99
long_passes_accurate,0.10164468888147152,0.10164468888147152,0.058620621893167406,0.058620621893167406,99
interceptions,0.013162074055056084,0.013162074055056084,0.05155217043944226,0.05155217043944226,99
average_passes_per_possession,-0.03796085226533343,0.03796085226533343,-0.046700291872882625,0.046700291872882625,99
defensive_duels_won,-0.09752297668066436,0.09752297668066436,-0.04016298326789776,0.04016298326789776,99
match_tempo,-0.00478239530630183,0.00478239530630183,0.038904344952085584,0.038904344952085584,99
back_passes_accurate,-0.023103776454723737,0.023103776454723737,0.03864086127068579,0.03864086127068579,99
sliding_tackles_successful,-0.07291242715533076,0.07291242715533076,-0.031707432873174075,0.031707432873174075,99
free_kicks_with_shots,0.14451822774881182,0.14451822774881182,0.027032631868550712,0.027032631868550712,99
long_pass_pct,0.03704660259019087,0.03704660259019087,-0.01353826515566757,0.01353826515566757,99
fouls,-0.026515141862031556,0.026515141862031556,-0.011301935738890831,0.011301935738890831,99
