feature,importance_mean,importance_std
defensive_score_8,0.31218695631925,0.2901432902372024
attacking_score_6,0.15477851912554857,0.28071096436825943
possesion_threat,0.14563430248945483,0.14978754636036556
red_cards,0.10314778394027638,0.05823737797813088
yellow_cards,0.04190037595302914,0.050424269421979015
set_pieces_with_shots,0.03708151767257166,0.0411372584074201
average_shot_distance,0.023423861386706837,0.042185816556827536
counterattacks_with_shots,0.012598855892907457,0.015576435623581202
fouls,0.009469528395130577,0.03027651912788566
positional_attacks_with_shots,0.005203645854745684,0.0642132403969454
smart_passes_accurate,0.005053828792199814,0.009522724378298845
offensive_duels_won,0.0013754027752725714,0.015112525704298597
match_tempo,0.0004536140467039937,0.018095609639437245
offsides,0.0003264149965062149,0.02935446940665836
possession_pct,-0.0002583191433470708,0.017539279939108064
sliding_tackles_successful,-0.0006083967149532078,0.020020333757780374
crosses_accurate,-0.0011857537201938936,0.017686698696031837
aerial_duels_won,-0.0035467238051712785,0.03464175476580918
throw_ins_accurate,-0.0042463342709021,0.015142407111041572
free_kicks_with_shots,-0.004808736513936222,0.01159414046161944
clearances,-0.005153296032028919,0.027739590855051323
ppda,-0.005976838887813304,0.04136974002837817
average_pass_length,-0.007227285319383074,0.014029477174004556
corners_with_shots,-0.00813864871753782,0.061831628230934375
interceptions,-0.00907994450486925,0.012271215602860581
defensive_duels_won,-0.01205971467404389,0.017142009345401152
deep_completed_crosses,-0.012954425479033534,0.03546808173759293
losses_low_medium_high,-0.014784115429431654,0.014006836308084091
long_passes_accurate,-0.01684713967466849,0.01874754429106203
long_pass_pct,-0.018333747354217972,0.015271358312369686
back_passes_accurate,-0.01925586988285964,0.023514751109955462
ball_progression_6,-0.021066757131758068,0.2383490378196872
duels_won,-0.021840007794416666,0.022230084386684997
average_passes_per_possession,-0.022597556100771025,0.015252648732528198
touches_in_penalty_area,-0.028363741257777526,0.1541792562843344
progressive_passes_accurate,-0.029453790535487724,0.023571877493213798
passes_accurate,-0.029577157675892952,0.01914120911600038
recoveries_low_medium_high,-0.030346358910293726,0.034844601843631945
lateral_passes_accurate,-0.033425286734440646,0.025293749442169396
forward_passes_accurate,-0.03940210939603651,0.024531792111066587
penalty_area_entries_runs_crosses,-0.04193181960689607,0.05726526417301005
goal_kicks,-0.047272752224626444,0.054254719770629095
deep_completed_passes,-0.06397084864670226,0.07064724823191769
passes_to_final_third_accurate,-0.06819096889682105,0.07537098007796747
