metric,correlation_with_points
standarised_points_score,1.0
adjusted_position_z_score,0.8762740560684494
composite_team_score,0.9685747405460886
total_score,0.788496601521348
attacking_score_6,0.7136765040443088
defensive_score_8,0.6867263190753917
ball_progression_6,0.669101927989504
xg_diff,0.8212603963122301
possesion_threat,0.6019786232292622
