season,player_900_plus_mins,team,possession,total_stdev,overall_rank,minutes_played,xg,penalties_taken,non_pkxg,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,shooting_impact,goal_conversion_pct,goal_threat_stdev,goal_threat_rank,offensive_duels_per_90,offensive_duels_won_pct,offensive_duel_impact,touches_in_box_per_90,key_passes_per_90,passes_to_penalty_area_per_90,accurate_passes_to_penalty_area_pct,penalty_box_passes_impact,xa_per_90,link_play_stdev,link_play_rank
2024.0,Stéfano Pinho,Birmingham Legion,49.34,-3.160501732,0.333,1824.0,7.5,0.0,7.5,0.78,0.851,0.436,0.209,0.248,0.89,2.421511881,0.766,0.216,0.245,0.167,0.652,0.241,0.206,0.546,0.301,0.411,-1.851071679,0.326
2024.0,E. Martínez,Birmingham Legion,49.34,-4.939592194,0.277,3266.0,6.74,0.0,6.74,0.245,0.227,0.28,0.082,0.099,0.227,-3.466872942,0.16,0.156,0.809,0.574,0.064,0.365,0.727,0.528,0.72,0.493,-0.4011136351,0.518
2023.0,J. Agudelo,Birmingham Legion,49.16,-0.2674511853,0.482,3300.0,7.6,0.0,7.6,0.316,0.167,0.099,0.316,0.142,0.266,-3.141372093,0.174,0.922,0.156,0.436,0.546,0.365,0.454,0.262,0.323,0.567,0.9326273658,0.656
2023.0,N. Brett,Birmingham Legion,49.16,-4.530257675,0.294,1962.0,9.07,3.0,6.85,0.606,0.801,0.631,0.862,0.844,0.929,3.622679443,0.865,0.11,0.014,0.0,0.309,0.638,0.567,0.713,0.67,0.411,-0.8246370587,0.454
2022.0,R. Parkes,Miami,49.1,3.844862995,0.709,1298.0,5.1,0.0,5.1,0.73,0.695,0.904,0.748,0.911,0.337,2.030638577,0.741,0.926,0.468,0.745,0.652,0.745,0.723,0.514,0.709,0.493,1.216353613,0.674
2022.0,C. Repetto,Miami,49.1,-8.077046781,0.096,937.0,2.34,0.0,2.34,0.362,0.301,0.156,0.422,0.241,0.379,-1.948154598,0.291,0.206,0.174,0.117,0.177,0.667,0.05,0.989,0.351,0.652,-1.393682097,0.383
2022.0,K. Murphy,Miami,49.1,-8.550581409,0.082,2345.0,11.31,2.0,9.83,0.805,0.606,0.652,0.621,0.727,0.61,1.906468433,0.72,0.142,0.06,0.053,0.387,0.131,0.011,0.195,0.043,0.0,-5.527733719,0.021
2024.0,T. Trager,Monterey Bay FC,49.08,6.594817776,0.848,1375.0,8.75,2.0,7.27,0.961,0.865,0.869,0.915,0.961,0.745,5.285334617,0.933,0.525,0.22,0.277,0.965,0.55,0.546,0.908,0.78,0.493,1.820995451,0.738
2024.0,M. Gonzalez,Monterey Bay FC,49.08,-0.7720860757,0.461,920.0,2.17,0.0,2.17,0.326,0.121,0.624,0.06,0.138,0.064,-4.198009087,0.113,0.422,0.745,0.677,0.713,0.461,0.904,0.099,0.613,0.089,0.09027257556,0.574
2024.0,A. Dixon,Monterey Bay FC,49.08,-1.54009621,0.397,2086.0,5.73,2.0,4.25,0.227,0.149,0.309,0.046,0.085,0.227,-3.922028845,0.135,0.103,0.759,0.397,0.557,0.383,0.809,0.358,0.688,0.855,2.770295924,0.801
