year,team,points,standarised_points_score,position,positon_reversed,adjusted_position_z_score,composite_team_score,total_score,attacking_score_6,defensive_score_8,ball_progression_6,xg_diff,possesion_threat,goals,conceded_goals,xg,shots_on_target,possession_pct,passes_accurate,losses_low_medium_high,recoveries_low_medium_high,duels_won,shots_from_outside_penalty_area_on_target,positional_attacks_with_shots,counterattacks_with_shots,set_pieces_with_shots,corners_with_shots,free_kicks_with_shots,penalties_converted,crosses_accurate,deep_completed_crosses,deep_completed_passes,penalty_area_entries_runs_crosses,touches_in_penalty_area,offensive_duels_won,offsides,shots_against_on_target,defensive_duels_won,aerial_duels_won,sliding_tackles_successful,interceptions,clearances,fouls,yellow_cards,red_cards,forward_passes_accurate,back_passes_accurate,lateral_passes_accurate,long_passes_accurate,passes_to_final_third_accurate,progressive_passes_accurate,smart_passes_accurate,throw_ins_accurate,goal_kicks,match_tempo,average_passes_per_possession,long_pass_pct,average_shot_distance,average_pass_length,ppda,points_z,standarised_points_score_z,position_z,positon_reversed_z,adjusted_position_z_score_z,composite_team_score_z,total_score_z,attacking_score_6_z,defensive_score_8_z,ball_progression_6_z,xg_diff_z,possesion_threat_z,goals_z,conceded_goals_z,xg_z,shots_on_target_z,possession_pct_z,passes_accurate_z,losses_low_medium_high_z,recoveries_low_medium_high_z,duels_won_z,shots_from_outside_penalty_area_on_target_z,positional_attacks_with_shots_z,counterattacks_with_shots_z,set_pieces_with_shots_z,corners_with_shots_z,free_kicks_with_shots_z,penalties_converted_z,crosses_accurate_z,deep_completed_crosses_z,deep_completed_passes_z,penalty_area_entries_runs_crosses_z,touches_in_penalty_area_z,offensive_duels_won_z,offsides_z,shots_against_on_target_z,defensive_duels_won_z,aerial_duels_won_z,sliding_tackles_successful_z,interceptions_z,clearances_z,fouls_z,yellow_cards_z,red_cards_z,forward_passes_accurate_z,back_passes_accurate_z,lateral_passes_accurate_z,long_passes_accurate_z,passes_to_final_third_accurate_z,progressive_passes_accurate_z,smart_passes_accurate_z,throw_ins_accurate_z,goal_kicks_z,match_tempo_z,average_passes_per_possession_z,long_pass_pct_z,average_shot_distance_z,average_pass_length_z,ppda_z
2022.0,Louisville City,72.0,2.05230727,1.0,-1,1.586865808,1.819586539,14.20853658,6.311747213,9.312859584,2.958368092,0.88,0.4129120566,1.86,0.89,1.81,13.24,54.54,438.35,114.08,89.81,206.54,4.54,34.19,1.62,27.46,6.16,2.95,0.27,18.19,5.41,7.3,28.68,20.14,65.84,2.65,7.51,62.22,46.11,4.0,39.03,14.08,13.7,2.16,0.22,152.57,65.54,160.22,51.54,63.54,75.46,5.59,23.73,5.97,16.18,3.93,12.25,17.19,20.59,8.17,2.052307270313797,2.052307269942869,-1.5868658083757132,1.5868658083757132,1.5868658083653735,1.8786227462975562,2.304182527427039,2.2124722153906,2.3313504587172513,1.4995606196057274,2.037869890346551,1.0720114744410119,1.5908345295177404,-1.3253163855316747,2.084335103864913,1.4026848543106734,1.278405105100252,0.8779567589453711,1.3620250350349086,1.7673746298133548,0.9281303210285964,-0.048890223452614234,2.328021941701587,0.8675595428733195,0.5355997699238132,2.1005759005575677,0.6888862127618222,1.608549981507807,1.853581197449949,1.0603404486927677,0.666147024741229,2.1621727231300008,1.7736756907855211,0.3702300718961408,1.643148349970101,-2.017771994300533,-0.24494855311781277,1.288906883678036,0.6284728929969142,0.30899212956450955,-0.4498437769671334,0.19011939519835813,-0.7940632957921998,1.5194167124880813,1.6107418030085145,0.6333269664317733,0.5998794417851979,0.7738241770929565,2.2362253150082787,1.1139642015600582,2.252191846756538,1.2605604729006072,-2.095733641605205,0.36959225880321456,0.16538290330351174,-0.21903430410665253,-1.2976615435291436,0.2597214629280974,-1.7004132243429777
2023.0,San Antonio,56.0,0.8101006535,4.0,-4,0.7527080295,0.7814043415,9.33541934,2.944490814,7.456010849,2.18066614,0.42,0.5887137379,1.81,1.14,1.52,13.44,45.03,258.19,118.83,91.42,245.42,6.06,34.53,1.44,26.81,6.31,5.53,0.11,16.36,5.39,5.94,25.17,16.75,74.36,2.53,9.61,78.08,51.42,3.39,42.31,19.06,15.89,2.58,0.14,121.5,32.64,62.78,48.72,55.22,64.44,2.44,27.06,7.86,14.16,2.2,19.48,19.14,21.14,6.6,0.81010065350942,0.8101006534674833,-0.7527080294596302,0.7527080294596302,0.7527080296907258,0.8067568859982414,1.3701065718809695,0.9711734801300211,1.6625633339599049,1.105353007589968,0.9886376144123289,3.6119446008403293,1.429137796024664,-0.6553494626985673,0.8075853528096187,1.534211469746131,-1.3501286848120375,-3.1208318598015534,2.0069219537146568,2.0171191617523867,3.5084174807706088,1.7498874844078964,2.43927360073628,0.5310355756551531,0.12268680485136181,2.3059317407371585,5.053939957828174,-0.5024219909100608,1.0787823751943826,1.038386312036784,-0.3760332612355221,0.8732372106830641,0.36249722939315276,1.7616115593447088,1.3744175900906292,-0.8577288616887284,2.5355858684582633,2.0357576929333585,0.023154264478834202,1.3552478575330922,2.2531663256573062,1.937460898926885,0.4292472577105659,0.37769182037180044,-1.877699855357836,-3.189947049146175,-3.4773514468615416,0.15027099992730464,0.48079867248576813,-1.245133291680861,0.013638771342908128,2.8239665565736924,-0.33523834807575387,-3.023936662935381,-3.3143627783662866,3.323975500422581,0.7660468424853655,1.1858402354516784,-2.6014299204178046
2025.0,Louisville City,73.0,2.129945184,1.0,-1,1.586865808,1.858405496,10.10456028,3.988629301,6.84569995,2.161201937,0.7,0.48687292,1.81,0.65,1.58,12.94,45.69,324.52,115.26,84.81,188.0,4.61,31.19,0.68,24.23,6.42,2.71,0.1,19.06,6.71,6.81,26.23,19.23,51.42,2.16,9.29,54.71,58.42,2.32,35.23,16.71,13.42,1.71,0.06,127.1,41.87,111.19,45.13,54.81,66.06,0.68,22.48,6.55,15.6,3.08,14.58,17.22,20.87,10.14,2.1299451838640704,2.1299451839413304,-1.5868658083757132,1.5868658083757132,1.5868658083653735,1.9187011784272183,1.5175350089772421,1.3560826256690728,1.44274571303222,1.095486841040318,1.6273007388940293,2.1405771765299755,1.429137796024664,-1.968484631451458,1.0717404737176108,1.2053949311574856,-1.1677067814111854,-1.648586915965611,1.5222310064121944,0.9917704933567336,-0.30228438940393704,0.033948223619909644,1.3463896561013675,-0.8898433970437697,-1.5162600411285156,2.4565260235355257,0.2828347015928588,-0.6343577391861774,2.221928178522266,2.48735933133168,0.29065559817607567,1.2624883910801445,1.394863773420608,-1.9846667648419296,0.5458310804622599,-1.0344973390390988,-1.5615824437884513,3.0203067823471548,-1.03863414947911,-0.9031334089356787,0.9776495101618385,-0.03328499797241179,-2.1047531745451638,-0.7640330717444807,-1.2489495081788353,-2.1173385639247635,-1.4517074883292278,-0.6435431511452796,0.39429327303453937,-0.8983331157234835,-1.2371083438088342,0.673696327377677,-1.5554758266596593,-0.6047873325870756,-1.5443187321989906,0.9227655360805002,-1.2659121837443077,0.7312001107582854,-0.5698381343637362
2024.0,Indy Eleven,51.0,0.4219110858,4.0,-4,0.7527080295,0.5873095576,3.64659176,1.55412969,2.959872526,0.9084074874,-0.03,0.3891718652,1.46,1.51,1.36,11.54,45.37,349.46,108.14,82.63,193.29,4.77,30.23,1.23,25.37,5.23,2.23,0.2,19.23,5.2,6.86,25.2,16.97,55.89,1.83,12.4,64.46,41.51,2.89,37.6,15.91,14.89,2.63,0.06,132.23,48.49,117.4,47.51,58.0,68.4,1.37,22.11,8.43,16.12,3.32,14.21,18.4,20.5,10.18,0.42191108575805214,0.4219110857751751,-0.7527080294596302,0.7527080294596302,0.7527080296907258,0.6063647264856206,0.27967578681630884,0.458633506848148,0.04317486958373304,0.46046065002541686,-0.03778526421897507,0.729019882335458,0.29726066157313014,0.33620158309443227,0.10317169705497393,0.2847086231092784,-1.2561537648782657,-1.0950245927443172,0.5555644672543396,0.6536070898616457,0.048788632073306464,0.22329324549996257,1.0322673247092966,0.13842428056729292,-0.7920742254629876,0.8273696914441033,-0.5292683207450671,0.6849997435749898,2.293904025398467,0.8298220138049435,0.32897104986639797,0.8842537535244901,0.45407813249236206,-1.2546814069903922,-0.1931785092062867,0.6834713002098127,0.14776248750831567,0.6419174820632555,-0.4730085457818872,-0.14714984939740278,0.5434310197804019,1.1395880661741336,0.5748794664608946,-0.7640330717444807,-0.6729692794237866,-1.348035403343425,-1.1918593374825912,-0.117281959069305,1.067347478520934,-0.39739952822949426,-0.7467586225277534,0.4999845403028892,0.1957046769569371,0.26879437003870393,-1.0615794468806374,0.7414496816301802,-0.017104032207322456,0.10817475469696643,-0.5468822949732952
2023.0,Indy Eleven,49.0,0.2666352587,6.0,-6,0.1966028435,0.2316190511,3.64659176,1.55412969,2.959872526,0.9084074874,-0.03,0.3891718652,1.46,1.51,1.36,11.54,45.37,349.46,108.14,82.63,193.29,4.77,30.23,1.23,25.37,5.23,2.23,0.2,19.23,5.2,6.86,25.2,16.97,55.89,1.83,12.4,64.46,41.51,2.89,37.6,15.91,14.89,2.63,0.06,132.23,48.49,117.4,47.51,58.0,68.4,1.37,22.11,8.43,16.12,3.32,14.21,18.4,20.5,10.18,0.26663525865750504,0.26663525867825194,-0.196602843515575,0.196602843515575,0.196602843574294,0.23913389583951747,0.27967578681630884,0.458633506848148,0.04317486958373304,0.46046065002541686,-0.03778526421897507,0.729019882335458,0.29726066157313014,0.33620158309443227,0.10317169705497393,0.2847086231092784,-1.2561537648782657,-1.0950245927443172,0.5555644672543396,0.6536070898616457,0.048788632073306464,0.22329324549996257,1.0322673247092966,0.13842428056729292,-0.7920742254629876,0.8273696914441033,-0.5292683207450671,0.6849997435749898,2.293904025398467,0.8298220138049435,0.32897104986639797,0.8842537535244901,0.45407813249236206,-1.2546814069903922,-0.1931785092062867,0.6834713002098127,0.14776248750831567,0.6419174820632555,-0.4730085457818872,-0.14714984939740278,0.5434310197804019,1.1395880661741336,0.5748794664608946,-0.7640330717444807,-0.6729692794237866,-1.348035403343425,-1.1918593374825912,-0.117281959069305,1.067347478520934,-0.39739952822949426,-0.7467586225277534,0.4999845403028892,0.1957046769569371,0.26879437003870393,-1.0615794468806374,0.7414496816301802,-0.017104032207322456,0.10817475469696643,-0.5468822949732952
2025.0,FC Tulsa,57.0,0.8877385671,1.0,-1,1.586865808,1.237302188,9.346198235,3.798280785,6.299878725,2.254422507,0.53,0.5605343537,1.68,0.98,1.67,13.08,46.6,297.93,116.28,83.6,208.48,5.18,28.55,0.48,28.15,5.33,3.05,0.23,16.78,6.0,7.25,26.58,19.03,59.48,1.13,10.43,63.98,55.88,3.23,37.08,17.05,16.83,3.03,0.08,119.58,40.73,96.9,49.78,52.1,65.88,0.73,22.15,8.3,14.47,2.8,17.21,17.82,21.48,9.02,0.8877385670596936,0.8877385670659448,-1.5868658083757132,1.5868658083757132,1.5868658083653735,1.2774462684824053,1.3721726634915328,1.285912925422992,1.2461555434515608,1.1427392083462546,1.2395409847444256,3.204816802733694,1.0087262889426654,-1.084128293311756,1.467973155079598,1.2974635619623067,-0.916185672176675,-2.238772247740037,1.6607141342128977,0.80407429233423,1.056879217373748,0.7084898640676006,0.4825532447731733,-1.2637589161750653,0.9739227636161049,0.9642735848971635,0.8580743424155561,1.08080698840334,1.256605055712054,1.707987480044274,0.6278315730509073,1.3910147242301232,1.3116084069667813,-0.6684068131006791,-1.7607746085032037,-0.40475963847840446,0.06361012165985992,2.6630561127598633,-0.1356178348045968,-0.3130196599290083,1.1621923685739488,2.6874613617144694,1.7399371364635285,-0.4786018487154104,-2.093271402962065,-2.2498167516985887,-2.0496511397943538,0.38465623673425225,-0.1774863184601727,-0.9368664686076379,-1.2015757553102053,0.5187641929596226,0.07461240808983297,-2.503147570985398,-2.1075145650704035,2.2115782312273726,-0.6309249880475338,1.7583500221026183,-1.2126016372960973
2022.0,Rio Grande Valley,49.0,0.2666352587,6.0,-6,0.1966028435,0.2316190511,7.114047558,2.161000385,5.865163721,1.307996195,0.4,0.3609030042,1.46,1.23,1.45,13.11,51.78,401.77,99.37,81.8,203.11,5.74,30.37,1.69,27.83,5.31,2.6,0.09,17.6,5.54,6.69,25.09,17.29,70.17,1.83,8.31,67.23,35.0,4.29,36.26,13.31,14.11,2.51,0.11,139.14,60.34,147.46,51.63,53.8,72.37,3.66,23.94,7.77,15.81,3.66,13.79,19.17,21.06,9.75,0.26663525865750504,0.26663525867825194,-0.196602843515575,0.196602843515575,0.196602843574294,0.23913389583951747,0.9443154678083894,0.6823491188799268,1.089582855470039,0.6630072809119232,0.9430188198064933,0.32059934864925477,0.29726066157313014,-0.41416137047864837,0.49940437841696117,1.317192554277625,0.5155498726966857,0.06603575720379334,-0.6351188962870055,0.5248568032098468,0.7004969630575303,1.3711974406477896,1.0780768313706406,0.9984299745692726,0.7706425346573601,0.9368928062065508,0.09672775897375097,-0.7662934874622942,1.6037826700560782,1.203042336956659,0.1986985141193041,0.8438597631059254,0.5872867188184854,1.0773523536628427,-0.1931785092062867,-1.575850800924607,0.6333917654254506,-0.2737131710915746,0.9162473229481327,-0.5745835919211539,-0.8677790739592656,0.5172472566269863,0.22536216546010404,-0.050455014171805077,0.1028637382560163,0.029040495884498557,0.0659563492243157,0.7937248104067547,0.1811946060937047,0.45247497704876805,0.880633930709457,1.35915364934846,-0.4190714572914427,-0.25199472191127953,-0.377698792679636,0.5356316846865724,0.7977962022702053,1.0511320503573363,-0.7936575684205406
2025.0,Pittsburgh Riverhounds,44.0,-0.1215543091,4.0,-4,0.7527080295,0.3155768602,5.684488307,0.03758417797,7.196376167,0.1679024799,0.28,0.2894109636,0.97,0.82,1.19,9.41,50.64,411.18,128.82,92.47,202.76,3.26,29.03,0.41,26.47,5.12,2.53,0.09,18.21,4.97,5.94,26.26,16.21,58.88,2.32,9.0,58.76,57.15,1.59,38.97,14.32,13.15,1.68,0.03,149.32,62.18,148.0,63.94,64.5,80.53,0.79,24.38,7.15,16.03,3.75,16.08,16.75,21.12,11.32,-0.12155430909386279,-0.12155430911405604,-0.7527080294596302,0.7527080294596302,0.7527080296907258,0.3258157032298981,0.6702984767073199,-0.10042282952320808,1.569049883354534,0.08510771444182853,0.6693060521714789,-0.7122974976781464,-1.2873673266590169,-1.512907123924945,-0.6452678121843372,-1.1160498312783502,0.20045749409521238,0.27489788477044885,3.363241999527432,2.179996030408277,0.6772690693870117,-1.563650398493045,0.6396144104692087,-1.394629347871019,-0.09329843841730427,0.676775408645736,-0.021703931783863716,-0.7662934874622942,1.8620489441412666,0.5773494422611355,-0.3760332612355221,1.2735049339215718,0.13770773996782018,-0.7663914248928309,0.9041387603015545,-1.1946937716378714,-0.851546856942102,2.8416814475535084,-1.763031852459763,0.2898533052724006,-0.31957822985270246,-0.24871066281565435,-2.1921324997953615,-1.192179906288086,1.2458420479492727,0.2428649393089183,0.08855184060228374,3.5156892114383753,2.4387745429916454,2.199320307797035,-1.1589366491118502,1.5657298285725303,-0.9965884318884046,0.11759753689193503,-0.19667156068525374,1.6578298108790954,-1.7633188203734447,1.1521631891780943,0.1073591276542863
2024.0,Louisville City,76.0,2.362858925,1.0,-1,1.586865808,1.974862366,12.59209939,7.052676,5.397248409,4.052159615,0.84,0.5693179293,2.47,1.33,2.05,15.47,47.14,360.08,104.19,83.81,197.83,6.86,32.03,1.03,24.92,6.08,2.72,0.22,17.17,6.31,6.83,26.11,18.69,65.19,2.31,9.39,62.42,44.14,2.47,36.0,12.94,14.08,2.19,0.06,133.42,50.58,129.58,46.47,58.11,70.67,1.78,21.14,6.75,15.42,3.46,13.4,17.65,20.91,10.56,2.3628589245148914,2.362858924936715,-1.5868658083757132,1.5868658083757132,1.5868658083653735,2.0389364737837594,1.9943448940461,2.4856067371616146,0.9210523067808285,2.053990170947409,1.9466323011348794,3.3317194265863175,3.5635346781332706,-0.14617460134540505,3.14095558749688,2.869206616416032,-0.7669313875759775,-0.8593055922386981,0.019281766457495974,0.8366496660654094,0.35008759568515807,2.696612593808166,1.6212466960694292,-0.23549123856400256,-1.0779370474362218,1.9910527857951192,0.2997535145582326,0.9488712401272231,1.4217261161927486,2.048276598212014,0.30598177885220473,1.218422219714437,1.1700742839952754,0.2640800757879745,0.8817445303115989,-0.9792571898671073,-0.20988506734762216,1.0118266399430107,-0.8897853064008932,-0.6575184971869557,-1.0686051257606803,0.49331107164440435,-0.7066839705420028,-0.7640330717444807,-0.5393598306482491,-1.1051587257580786,-0.6822054764017483,-0.3472448329176303,1.0905562442273613,0.0885488664762117,-0.4553913968389952,0.0445779633770959,-1.3691800284025746,-0.9071809988806134,-0.779981530444931,0.34451497323893804,-0.8108380268282879,0.7985542033054533,-0.328801820764101
2022.0,San Antonio,77.0,2.440496838,1.0,-1,1.586865808,2.013681323,7.942309991,2.118369083,7.062010156,1.170217053,0.46,0.5592155661,1.68,0.73,1.46,12.92,43.42,261.08,113.73,88.68,229.16,5.7,31.46,1.7,24.49,4.89,4.65,0.22,14.27,3.78,6.35,22.84,16.41,68.38,2.46,10.22,79.84,44.57,4.27,44.92,20.97,15.0,2.86,0.08,117.41,31.32,75.84,43.24,51.35,61.7,3.78,25.27,8.24,14.26,2.26,17.26,19.11,21.71,7.73,2.440496838065165,2.440496837935177,-1.5868658083757132,1.5868658083757132,1.5868658083653735,2.079014905913422,1.1030762743814295,0.6666336000763016,1.520654849086003,0.5931687181904036,1.0798752036240005,3.1857633313040963,1.0087262889426654,-1.7540952161448635,0.5434302319016265,1.19224226961394,-1.7951275703807845,-3.0566861054266727,1.3145063147111384,1.5920880949741592,2.4293159062488727,1.323861185177776,1.4347365618053873,1.0171257505258373,-1.351094855099537,0.3618964537036957,3.56508441687531,0.9488712401272231,0.19390284595168733,-0.7289216887698688,-0.061846557374884356,0.017619049998914137,0.2209631064216469,0.785031595149586,1.217657980160938,-0.5207639517395845,2.8441445432359376,1.072306084007001,0.8964008105377034,2.1877867142397993,3.289862971442985,1.2273540777769356,1.2447876267124092,-0.4786018487154104,-2.336912162493928,-3.343342845515868,-2.930875303535121,-1.061456450735025,-0.33572790282217785,-1.831696552250744,0.9659121431061665,1.9835771001848568,0.01872366861270707,-2.855940181661194,-3.193677957036699,2.2360803737206596,0.7342974827005256,2.1456360542488433,-1.9529274576378335
