year,team,points,standarised_points_score,position,positon_reversed,adjusted_position_z_score,composite_team_score,total_score,attacking_score_6,defensive_score_8,ball_progression_6,xg_diff,possesion_threat,goals,conceded_goals,xg,shots_on_target,possession_pct,passes_accurate,points_order_within_year,composite_order_within_year,underlying_minus_results_order_within_year
2025.0,Loudoun United,42.0,-0.2768301362,6.0,-6,0.1966028435,-0.04011364634,5.014493733,3.047603494,2.325696846,2.509323708,-0.14,0.3284549212,1.45,1.58,1.47,12.42,52.9,447.55,9,11,2
2023.0,Oakland Roots,42.0,-0.2768301362,10.0,-10,-0.9156075284,-0.5962188323,3.432468785,0.7337425817,3.07399956,0.7053500072,0.18,0.3311715192,1.32,1.41,1.44,11.12,51.64,434.82,17,19,2
2023.0,Charleston Battery,59.0,1.043014394,3.0,-3,1.030760622,1.036887508,4.292001042,-0.3571912018,5.97616877,-0.5877072158,0.39,0.3674500498,1.5,1.21,1.44,11.37,51.79,391.89,4,5,1
2025.0,Rhode Island,38.0,-0.5873817904,7.0,-7,-0.08144974946,-0.3344157699,2.97804575,-1.364556272,5.95356297,-0.8567171155,0.14,0.2664405959,0.94,0.91,1.1,10.48,51.67,412.85,14,14,0
2024.0,Monterey Bay FC,34.0,-0.8979334446,11.0,-11,-1.193660121,-1.045796783,-1.069553445,-0.6116968195,-0.4975951235,0.213158885,-0.26,0.2879146087,0.85,1.29,1.23,10.29,49.08,427.21,22,22,0
2022.0,Sacramento Republic,53.0,0.5771869129,4.0,-4,0.7527080295,0.6649474712,5.816103539,2.504888159,4.168446349,0.994382012,0.32,0.3695582547,1.42,1.0,1.5,13.28,48.87,405.89,11,9,-2
2024.0,Colorado Springs,52.0,0.4995489993,2.0,-2,1.308813215,0.9041811074,5.106467622,1.569036506,3.991447848,1.601973898,0.13,0.379565039,1.47,1.08,1.48,12.87,50.24,389.92,5,5,0
2022.0,Tampa Bay Rowdies,67.0,1.664117703,3.0,-3,1.030760622,1.347439162,12.48817376,6.250020937,6.20264678,3.875980479,0.83,0.3997627781,2.08,0.95,1.82,12.7,52.39,455.27,4,4,0
2024.0,Charleston Battery,64.0,1.431203962,2.0,-2,1.308813215,1.370008589,11.2093718,4.529143743,6.452703478,3.740507257,0.71,0.3636287204,1.92,1.03,1.73,14.08,58.38,475.76,2,2,0
2022.0,Memphis 901,68.0,1.741755616,2.0,-2,1.308813215,1.525284416,9.084944283,4.042711164,5.187805124,3.039201928,0.45,0.4110584756,1.94,0.97,1.64,12.72,50.62,398.97,3,3,0
