season,player,team,position,minutes_played,overall_percentile,total_stdev,goal_threat_percentile,link_play_percentile,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,offensive_duels_won_pct,touches_in_box_per_90,key_passes_per_90,xa_per_90
2024.0,E. Amoh,Detroit City,ST,1154.0,0.372,-2.136191769,0.475,0.362,0.794,0.415,0.546,0.355,0.021,0.67,0.33,0.493
2024.0,J. Agudelo,San Antonio,ST,2396.0,0.34,-2.94962286,0.376,0.433,0.539,0.479,0.309,0.078,0.131,0.844,0.33,0.348
2024.0,Stéfano Pinho,Birmingham Legion,ST,1824.0,0.333,-3.160501732,0.766,0.326,0.78,0.851,0.436,0.209,0.245,0.652,0.241,0.411
2024.0,J. Rodriguez,Oakland Roots,ST,2634.0,0.323,-3.438952865,0.642,0.27,0.723,0.681,0.762,0.259,0.408,0.663,0.28,0.17
2024.0,L. Perez,North Carolina FC,ST,2687.0,0.319,-3.761952986,0.028,0.809,0.032,0.035,0.326,0.032,0.929,0.025,0.798,0.911
2024.0,A. Gavilanes,Miami,ST,2740.0,0.298,-4.526061093,0.17,0.106,0.096,0.213,0.411,0.294,0.876,0.021,0.16,0.411
2024.0,C. Rutz,Detroit City,ST,1239.0,0.28,-4.926476172,0.557,0.163,0.823,0.387,0.326,0.809,0.355,0.216,0.018,0.043
2024.0,E. Martínez,Birmingham Legion,ST,3266.0,0.277,-4.939592194,0.16,0.518,0.245,0.227,0.28,0.082,0.809,0.064,0.365,0.493
2024.0,L. Solignac,San Antonio,ST,1453.0,0.255,-5.482976689,0.468,0.138,0.348,0.461,0.309,0.394,0.518,0.152,0.216,0.17
2024.0,K. Sterling,Pittsburgh Riverhounds,ST,1220.0,0.245,-5.564120382,0.415,0.174,0.649,0.387,0.234,0.34,0.415,0.174,0.312,0.248
2024.0,K. Bennett,Las Vegas Lights,ST,2458.0,0.241,-5.600000474,0.858,0.039,0.681,0.791,0.812,0.809,0.34,0.514,0.007,0.0
2024.0,A. Williams,Indy Eleven,ST,2544.0,0.227,-5.917180934,0.674,0.124,0.773,0.631,0.848,0.571,0.138,0.567,0.113,0.089
2024.0,Z. Ryan,Loudoun United,ST,2695.0,0.22,-5.979904782,0.667,0.415,0.826,0.571,0.557,0.589,0.113,0.422,0.489,0.17
2024.0,J. Conway,Charleston Battery,ST,1000.0,0.213,-6.076341125,0.684,0.121,0.784,0.713,0.787,0.468,0.124,0.255,0.043,0.17
2024.0,R. Damus,Colorado Springs,ST,2880.0,0.202,-6.176517267,0.681,0.053,0.642,0.387,0.695,0.809,0.145,0.443,0.096,0.043
2024.0,J. Dhillon,Colorado Springs,ST,2064.0,0.199,-6.20817055,0.404,0.255,0.585,0.227,0.567,0.613,0.082,0.635,0.174,0.493
2024.0,R. Williams,Indy Eleven,ST,1987.0,0.195,-6.295799848,0.248,0.606,0.436,0.167,0.695,0.248,0.067,0.585,0.535,0.652
2024.0,F. López,Miami,ST,1926.0,0.188,-6.347796233,0.514,0.262,0.677,0.652,0.752,0.145,0.635,0.365,0.55,0.652
2024.0,N. Pickering,Memphis 901,ST,1374.0,0.174,-6.539193867,0.309,0.223,0.411,0.326,0.631,0.404,0.387,0.472,0.241,0.043
2024.0,E. Zubak,Orange County SC,ST,2683.0,0.156,-6.678257558,0.688,0.11,0.684,0.681,0.252,0.546,0.025,0.277,0.174,0.089
2024.0,M. Lawrence,Miami,ST,1088.0,0.145,-6.840188998,0.482,0.0,0.057,0.461,0.039,0.968,0.645,0.035,0.174,0.248
2024.0,K. Lacey,San Antonio,ST,949.0,0.135,-6.902609485,0.064,0.351,0.103,0.0,0.465,0.422,0.617,0.5,0.433,0.411
2024.0,E. Johnson,Pittsburgh Riverhounds,ST,1009.0,0.124,-7.054695416,0.22,0.16,0.518,0.259,0.362,0.046,0.301,0.564,0.043,0.348
2024.0,A. Bibout,FC Tulsa,ST,1093.0,0.11,-7.45117517,0.472,0.167,0.582,0.652,0.762,0.131,0.16,0.238,0.16,0.248
