year,team,points,composite_team_score,points_order_within_year,composite_order_within_year,underlying_minus_results_order_within_year,luck_bucket
2025.0,Monterey Bay FC,29.0,-1.239891567,22,22,0,about_expected
2025.0,North Carolina FC,45.0,0.4934221134,6,6,0,about_expected
2025.0,Phoenix Rising,40.0,0.0212747366,12,10,-2,about_expected
2022.0,LA Galaxy II,40.0,-0.8128830423,21,20,-1,about_expected
2024.0,El Paso Locomotive,32.0,-1.262460993,23,23,0,about_expected
2025.0,Oakland Roots,32.0,-0.9844084,20,20,0,about_expected
2022.0,Las Vegas Lights,45.0,-0.3407356655,16,17,1,about_expected
2023.0,FC Tulsa,39.0,-0.7126757026,21,20,-1,about_expected
2023.0,El Paso Locomotive,47.0,0.01495484105,13,13,0,about_expected
2025.0,Las Vegas Lights,27.0,-1.456555777,24,24,0,about_expected
2024.0,Miami,11.0,-2.077659085,24,24,0,about_expected
